,Unternehmen,Website,offene Stellen Link,# offene Stellen,gescraped?,Datum
40,Novartis,https://www.novartis.com,https://www.novartis.com/careers/career-search?search_api_fulltext=&country%5B%5D=LOC_CH&field_job_posted_date=All&op=Submit,80,Nein,06/09/2025
41,Schindler,https://schindler.com,https://job.schindler.com/search/?q=&q2=&alertId=&locationsearch=&optionsFacetsDD_country=CH&title=&facility=&location=&date=,136,Nein,06/09/2025
42,Siemens,https://www.siemens.com,https://jobs.siemens.com/careers?location=Schweiz&pid=563156131853882&domain=siemens.com&sort_by=relevance&utm_source=j_c_de&triggerGoButton=true&triggerGoButton=false,67,Nein,06/09/2025
43,Ruag,https://www.ruag.ch,https://www.ruag.ch/en/working-us/job-portal,124,Nein,06/09/2025
44,Suva,https://www.suva.ch,https://jobs.suva.ch/go/offene-Stellen/3914501/,22,Nein,06/09/2025
45,Kanton Schaffhausen,https://sh.ch,https://recruitingapp-2876.umantis.com/Jobs/1?lang=ger&Reset=G,21,Nein,06/09/2025
46,Emmi,https://group.emmi.com,https://group.emmi.com/che/en/working-at-emmi/job-vacancies,68,Nein,06/09/2025
47,Zürcher Kantonalbank,https://www.zkb.ch,https://apply.refline.ch/792841/search.html,68,Nein,06/09/2025
48,Emil Frey Group,https://emilfrey.ch,https://jobs.emilfrey.ch/stellenangebote.html,76,Nein,06/09/2025
49,Swissquote,https://www.swissquote.com,https://www.swissquote.com/de/careers,36,Nein,06/09/2025
50,Implenia,https://implenia.com,https://implenia.com/karriere/jobs,110,Nein,06/09/2025
