Rang,Unternehmen,Sitz,Kanton,Branche,Umsatz in Mio. Schweizer Franken,Umsatz in Mio. Euro
444,Schweizer Paraplegiker-Stiftung,Nottwil,LU,Gesundheitswesen,261,278
445,Festina - Candino Watch,Herbetswil,SO,Uhrenindustrie,260,277
446,DSS International,Paradiso,TI,Metall-/Stahlhandel,260,277
447,Schurter Holding,Luzern,LU,Elektronik/Elektrotechnik,259,276
448,Traveco Transporte,Winterthur,ZH,Gütertransporte/Terminals,258,275
449,Mikron Holding,Biel,BE,Maschinenindustrie,257,274
450,Aluflexpack,Reinach,AG,Verpackung,256,273
451,Genossenschaft Zentralschweizer Milchproduzenten ZMP,Luzern,LU,Nahrungsmittel,256,273
452,Wasserwerke Zug,Zug,ZG,Energieversorgung/-verteilung,255,272
453,Sensirion Holding,Stäfa,ZH,Mess- und Regeltechnik,254,271
454,ITRIS,Spreitenbach,AG,Computer/Informatik,251,268
455,Georg Utz Holding,Bremgarten,AG,Kunststofftechnologie,251,268
456,Blancpain,Le Brassus,VD,Uhrenindustrie,250,267
457,Induni,Petit-Lancy,GE,Bauunternehmen,250,267
458,Schenker Storen,Schönenwerd,SO,Bauzulieferer/Bauelemente,250,267
458,Rieker Holding,Thayngen,SH,Schuhproduktion/-handel,250,267
459,Vebego Schweiz Holding,Zürich,ZH,Facility Management,250,267
461,Basler Verkehrs-Betriebe,Basel,BS,Bahnen/Öffentlicher Verkehr,250,267
462,Reichle & De-Massari,Wetzikon,ZH,Elektronik/Elektrotechnik,250,267
463,Coltene Holding,Altstätten,SG,Medizinaltechnik,248,265
464,Bernina International,Steckborn,TG,Elektroapparate/Haushaltgeräte,244,260
465,BeautyAlliance Schweiz,Pfäffikon SZ,SZ,Drogerien/Parfümerien/Apotheken,240,256
466,Camion-Transport,Wil,SG,Gütertransporte/Terminals,240,256
467,Sigvaris Group,Winterthur,ZH,Medizinaltechnik,240,256
468,Veritas (Schweiz) GmbH,Kloten,ZH,Computer/Informatik,240,256
469,Stadtwerk Winterthur,Winterthur,ZH,Energieversorgung/-verteilung,239,255
470,Interhome HHD,Opfikon,ZH,Reiseunternehmen/Tourismus,237,253
471,AZ Medien,Aarau,AG,Graphisches Gewerbe/Verlage,233,249
472,BDO AG,Zürich,ZH,Wirtschaftsprüfung,233,249
473,Coop Vitality,Bern,BE,Kosmetik/Körperpflege,233,249
474,Coop@home,Spreitenbach,AG,Online Handel,232,247
475,Visilab,Meyrin,GE,Optiker,232,247
476,Holdigaz,Vevey,VD,Energieversorgung/-verteilung,231,246
477,Rado Uhren,Lengnau,BE,Uhrenindustrie,230,245
478,EBL (Genossenschaft Elektra Baselland),Liestal,BL,Energieversorgung/-verteilung,230,245
479,Variosystems,Steinach,SG,Elektronik/Elektrotechnik,228,243
480,AWS (Switzerland),Zürich,ZH,Computer/Informatik,225,240
481,Centravo Holding,Zürich,ZH,Fleischverarbeitung,225,240
482,Top Tip/Lumimart,Oberentfelden,AG,Möbel/Inneneinrichtung,222,237
483,ERNI International,Brüttisellen,ZH,Elektronik/Elektrotechnik,222,237
484,Neue Zürcher Zeitung,Zürich,ZH,Graphisches Gewerbe/Verlage,221,236
485,Mammut Sports Group,Seon,AG,Sportartikel/-bekleidung,220,235
486,Florin AG,Muttenz,BL,Grosshandel (Food),220,235
487,Kirchhofer AG,Interlaken,BE,Detailhandel (Uhren/Schmuck),220,235
488,Villiger Söhne Holding,Pfeffikon,LU,Tabakindustrie/-handel,220,235
489,Dottikon ES Holding,Dottikon,AG,Chemie/Pharma,219,234
490,Orell Füssli Holding,Zürich,ZH,Graphisches Gewerbe/Verlage,219,234
491,Stadtwerke St. Gallen,St. Gallen,SG,Energieversorgung/-verteilung,218,233
492,Trisa Holding,Triengen,LU,Kosmetik/Körperpflege,215,229
493,Interroute,Meyrin,GE,Computer/Informatik,215,229
494,Schmid Bauunternehmung,Ebikon,LU,Bauunternehmen,215,229
495,Cicor,Zürich,ZH,Computer/Informatik,215,229
496,Peach Property Group,Zürich,ZH,Immobilien/GU/Dienstleistungen,214,228
497,Spitäler Schaffhausen,Schaffhausen,SH,Gesundheitswesen,213,227
498,Von Roll Holding,Breitenbach,SO,Maschinenindustrie,212,226
499,Acer (Switzerland),Dietikon,ZH,Computer/Informatik,212,226
500,On Running Shoes,Zürich,ZH,Sportartikel/-bekleidung,210,224
