Rang,Unternehmen,Sitz,Kanton,Branche,Umsatz in Mio. Schweizer Franken,Umsatz in Mio. Euro
176,Accenture,Zürich,ZH,Computer/Informatik,1'030,1.099
177,Competec,Mägenwil,AG,Online Handel,1'026,1.095
178,Swiss Household Services,Oberbüren,SG,Multimedia/Fachmärkte,1'019,1.087
179,Salt Mobile,Renens,VD,Telecom,1'011,1.079
180,Spar Holding,St. Gallen,SG,Detailhandel,1'004,1.071
181,Bucherer,Luzern,LU,Detailhandel,1'000,1.067
182,Coca-Cola HBC Schweiz,Brüttisellen,ZH,Getränke/Brauereien/Spirituosen,1'000,1.067
183,Tech Data (Schweiz),Rotkreuz,ZG,Grosshandel (Elektronik),1'000,1.067
184,Cisco Systems (Switzerland) GmbH,Wallisellen,ZH,Computer/Informatik,990,1.056
185,BT Switzerland,Wallisellen,ZH,Computer/Informatik,982,1.048
186,Debrunner Koenig Holding,St. Gallen,SG,Metall-/Stahlhandel,981,1.047
187,Ringier,Zofingen,AG,Graphisches Gewerbe/Verlage,954,1.018
188,Tamedia,Zürich,ZH,Graphisches Gewerbe/Verlage,936,999
189,Luzerner Kantonsspital,Luzern,LU,Gesundheitswesen,933,995
190,CSC Switzerland GmbH,Dübendorf,ZH,Computer/Informatik,932,994
191,Planzer Holding,Dietikon,ZH,Gütertransporte/Terminals,924,986
192,Kantonsspital St. Gallen,St. Gallen,SG,Gesundheitswesen,908,969
193,PricewaterhouseCoopers,Zürich,ZH,Wirtschaftsprüfung,905,965
194,Services industriels de Genève,Le Lignon,GE,Energieversorgung/-verteilung,903,963
195,Bertschi,Dürrenäsch,AG,Gütertransporte/Terminals,900,960
196,Colosseum Dental Group,Zürich,ZH,Gesundheitswesen,900,960
197,Feldschlösschen Getränke,Rheinfelden,AG,Getränke/Brauereien/Spirituosen,900,960
198,Fracht AG,Basel,BS,Logistik/Spedition,900,960
199,Jungbunzlauer Suisse,Basel,BS,Biologische Stoffe,900,960
200,MIR Trade,Herisau,AR,Grosshandel (Non Food),896,956
201,EMC Computer Systems,Zürich,ZH,Computer/Informatik,891,951
202,SBB Cargo,Olten,SO,Gütertransporte/Terminals,889,948
203,Unilever Schweiz,Thayngen,SH,Nahrungsmittel,869,927
204,Azienda Elettrica Ticinese,Monte Carasso,TI,Energieversorgung/-verteilung,867,925
205,Model Holding,Weinfelden,TG,Papier-/Kartonindustrie,859,916
206,Tecan Group,Männedorf,ZH,Medizinaltechnik,855,912
207,Ammann Group Holding,Bern,BE,Grosshandel (Fahrzeugbranche),850,907
208,Jowa,Volketswil,ZH,Nahrungsmittel,850,907
209,Siegfried Holding,Zofingen,AG,Chemie/Pharma,845,901
210,Otto’s,Sursee,LU,Detailhandel,842,898
211,Primeo Energie-Gruppe,Münchenstein,BL,Energieversorgung/-verteilung,834,890
212,Temenos Group,Genf,GE,Computer/Informatik,832,888
213,Swisslog Holding,Buchs,AG,Förder- und Lagertechnik,832,888
214,Losinger Marazzi,Bern,BE,Immobilien/GU/Dienstleistungen,830,885
215,Metall Zug,Zug,ZG,Elektroapparate/Haushaltgeräte,826,881
216,Centralschweizerische Kraftwerke,Luzern,LU,Energieversorgung/-verteilung,820,875
217,Bossard Holding,Zug,ZG,Befestigungstechnik,813,867
218,Marti Holding,Moosseedorf,BE,Bauunternehmen,810,864
219,PostAuto Schweiz,Bern,BE,Bahnen/Öffentlicher Verkehr,809,863
220,Energy Financing Team,St. Gallen,SG,Energieversorgung/-verteilung,803,857
221,Frutiger Unternehmungen,Bern,BE,Bauunternehmen,802,856
222,Bystronic Laser,Niederönz,BE,Maschinenindustrie,801,854
223,Scott Corporation,Givisiez,FR,Sportartikel/-bekleidung,800,853
224,Tissot,Le Locle,NE,Uhrenindustrie,800,853
225,HG Commerciale,Zürich,ZH,Bauzulieferer/Bauelemente,800,853
226,Oracle Software (Schweiz),Dättwil,AG,Computer/Informatik,795,848
227,Swiss Prime Site,Olten,SO,Immobilien/GU/Dienstleistungen,793,846
228,Industrielle Werke Basel,Basel,BS,Energieversorgung/-verteilung,772,824
229,Spital Wallis,Sion,VS,Gesundheitswesen,761,812
230,M + R Spedag Group,Muttenz,BL,Logistik/Spedition,760,811
231,ISS Schweiz,Zürich,ZH,Facility Management,759,810
232,Groupe E,Granges-Paccot,FR,Energieversorgung/-verteilung,738,787
233,Huber+Suhner,Herisau,AR,Elektronik/Elektrotechnik,738,787
234,Phoenix Mecano,Stein am Rhein,SH,Elektronik/Elektrotechnik,736,785
235,Aevis Holding,Freiburg,FR,Gesundheitswesen,733,782
236,Hotelplan Group,Glattbrugg,ZH,Reiseunternehmen/Tourismus,732,781
